State,Year,Quater,District,Users
Madhya Pradesh,2018,1,shivpuri district,25449
Madhya Pradesh,2018,1,gwalior district,142453
Madhya Pradesh,2018,1,anuppur district,18656
Madhya Pradesh,2018,1,agar malwa district,12058
Madhya Pradesh,2018,1,ashoknagar district,16495
Madhya Pradesh,2018,1,sagar district,72857
Madhya Pradesh,2018,1,niwari district,6771
Madhya Pradesh,2018,1,rewa district,73336
Madhya Pradesh,2018,1,shajapur district,29995
Madhya Pradesh,2018,1,ujjain district,84441
Madhya Pradesh,2018,1,bhind district,34085
Madhya Pradesh,2018,1,tikamgarh district,15917
Madhya Pradesh,2018,1,seoni district,29095
Madhya Pradesh,2018,1,harda district,18120
Madhya Pradesh,2018,1,burhanpur district,16077
Madhya Pradesh,2018,1,damoh district,24961
Madhya Pradesh,2018,1,bhopal district,307312
Madhya Pradesh,2018,1,jhabua district,9632
Madhya Pradesh,2018,1,dhar district,63440
Madhya Pradesh,2018,1,guna district,36829
Madhya Pradesh,2018,1,east nimar district,29308
Madhya Pradesh,2018,1,chhindwara district,65005
Madhya Pradesh,2018,1,umaria district,11572
Madhya Pradesh,2018,1,mandla district,13593
Madhya Pradesh,2018,1,indore district,366977
Madhya Pradesh,2018,1,shahdol district,26509
Madhya Pradesh,2018,1,ratlam district,49298
Madhya Pradesh,2018,1,panna district,13874
Madhya Pradesh,2018,1,chhatarpur district,36004
Madhya Pradesh,2018,2,morena district,58065
Madhya Pradesh,2018,2,alirajpur district,5452
Madhya Pradesh,2018,2,sehore district,82040
Madhya Pradesh,2018,2,rajgarh district,54095
Madhya Pradesh,2018,2,khargone district,56609
Madhya Pradesh,2018,2,satna district,81811
Madhya Pradesh,2018,2,narsinghpur district,51214
Madhya Pradesh,2018,2,jabalpur district,155624
Madhya Pradesh,2018,2,hoshangabad district,67994
Madhya Pradesh,2018,2,vidisha district,59517
Madhya Pradesh,2018,2,balaghat district,51925
Madhya Pradesh,2018,2,singrauli district,59664
Madhya Pradesh,2018,2,betul district,66003
Madhya Pradesh,2018,2,sidhi district,27757
Madhya Pradesh,2018,2,datia district,23685
Madhya Pradesh,2018,2,dewas district,84342
Madhya Pradesh,2018,2,sheopur district,13621
Madhya Pradesh,2018,2,neemuch district,37523
Madhya Pradesh,2018,2,raisen district,63216
Madhya Pradesh,2018,2,mandsaur district,56151
Madhya Pradesh,2018,2,barwani district,22443
Madhya Pradesh,2018,2,katni district,39536
Madhya Pradesh,2018,2,dindori district,9224
Madhya Pradesh,2018,2,shivpuri district,37234
Madhya Pradesh,2018,2,gwalior district,193605
Madhya Pradesh,2018,2,anuppur district,25374
Madhya Pradesh,2018,2,agar malwa district,16753
Madhya Pradesh,2018,2,ashoknagar district,23253
Madhya Pradesh,2018,2,sagar district,100623
Madhya Pradesh,2018,2,niwari district,9413
Madhya Pradesh,2018,2,rewa district,100661
Madhya Pradesh,2018,2,shajapur district,41285
Madhya Pradesh,2018,2,ujjain district,113216
Madhya Pradesh,2018,2,bhind district,47639
Madhya Pradesh,2018,2,tikamgarh district,21942
Madhya Pradesh,2018,2,seoni district,39979
Madhya Pradesh,2018,2,harda district,24635
Madhya Pradesh,2018,2,burhanpur district,22302
Madhya Pradesh,2018,2,damoh district,33463
Madhya Pradesh,2018,2,bhopal district,398498
Madhya Pradesh,2018,2,jhabua district,13499
Madhya Pradesh,2018,2,dhar district,86280
Madhya Pradesh,2018,2,guna district,52881
Madhya Pradesh,2018,2,east nimar district,39725
Madhya Pradesh,2018,2,chhindwara district,87704
Madhya Pradesh,2018,2,umaria district,15772
Madhya Pradesh,2018,2,mandla district,19276
Madhya Pradesh,2018,2,indore district,479904
Madhya Pradesh,2018,2,shahdol district,35993
Madhya Pradesh,2018,2,ratlam district,66181
Madhya Pradesh,2018,2,panna district,18555
Madhya Pradesh,2018,2,chhatarpur district,48506
Madhya Pradesh,2018,3,morena district,75004
Madhya Pradesh,2018,3,alirajpur district,7606
Madhya Pradesh,2018,3,sehore district,103905
Madhya Pradesh,2018,3,rajgarh district,70348
Madhya Pradesh,2018,3,khargone district,72892
Madhya Pradesh,2018,3,satna district,103407
Madhya Pradesh,2018,3,narsinghpur district,64578
Madhya Pradesh,2018,3,jabalpur district,193535
Madhya Pradesh,2018,3,hoshangabad district,84713
Madhya Pradesh,2018,3,vidisha district,76590
Madhya Pradesh,2018,3,balaghat district,68079
Madhya Pradesh,2018,3,singrauli district,73175
Madhya Pradesh,2018,3,betul district,83041
Madhya Pradesh,2018,3,sidhi district,35518
Madhya Pradesh,2018,3,datia district,30483
Madhya Pradesh,2018,3,dewas district,105774
Madhya Pradesh,2018,3,sheopur district,17723
Madhya Pradesh,2018,3,neemuch district,47901
Madhya Pradesh,2018,3,raisen district,78648
Madhya Pradesh,2018,3,mandsaur district,73577
Madhya Pradesh,2018,3,barwani district,29421
Madhya Pradesh,2018,3,katni district,49748
Madhya Pradesh,2018,3,dindori district,12903
Madhya Pradesh,2018,3,shivpuri district,47616
Madhya Pradesh,2018,3,gwalior district,236305
Madhya Pradesh,2018,3,anuppur district,32188
Madhya Pradesh,2018,3,agar malwa district,22143
Madhya Pradesh,2018,3,ashoknagar district,30102
Madhya Pradesh,2018,3,sagar district,128283
Madhya Pradesh,2018,3,niwari district,12173
Madhya Pradesh,2018,3,rewa district,125803
Madhya Pradesh,2018,3,shajapur district,52686
Madhya Pradesh,2018,3,ujjain district,143770
Madhya Pradesh,2018,3,bhind district,61906
Madhya Pradesh,2018,3,tikamgarh district,28168
Madhya Pradesh,2018,3,seoni district,51561
Madhya Pradesh,2018,3,harda district,30835
Madhya Pradesh,2018,3,burhanpur district,28441
Madhya Pradesh,2018,3,damoh district,42032
Madhya Pradesh,2018,3,bhopal district,474192
Madhya Pradesh,2018,3,jhabua district,18084
Madhya Pradesh,2018,3,dhar district,110726
Madhya Pradesh,2018,3,guna district,67630
Madhya Pradesh,2018,3,east nimar district,50390
Madhya Pradesh,2018,3,chhindwara district,109266
Madhya Pradesh,2018,3,umaria district,20386
Madhya Pradesh,2018,3,mandla district,25522
Madhya Pradesh,2018,3,indore district,585621
Madhya Pradesh,2018,3,shahdol district,45154
Madhya Pradesh,2018,3,ratlam district,85431
Madhya Pradesh,2018,3,panna district,24008
Madhya Pradesh,2018,3,chhatarpur district,60318
Madhya Pradesh,2018,4,morena district,95267
Madhya Pradesh,2018,4,alirajpur district,10442
Madhya Pradesh,2018,4,sehore district,125974
Madhya Pradesh,2018,4,rajgarh district,88511
Madhya Pradesh,2018,4,khargone district,91189
Madhya Pradesh,2018,4,satna district,133865
Madhya Pradesh,2018,4,narsinghpur district,80034
Madhya Pradesh,2018,4,jabalpur district,248495
Madhya Pradesh,2018,4,hoshangabad district,104621
Madhya Pradesh,2018,4,vidisha district,95544
Madhya Pradesh,2018,4,balaghat district,88279
Madhya Pradesh,2018,4,singrauli district,90217
Madhya Pradesh,2018,4,betul district,103060
Madhya Pradesh,2018,4,sidhi district,46218
Madhya Pradesh,2018,4,datia district,39314
Madhya Pradesh,2018,4,dewas district,129719
Madhya Pradesh,2018,4,sheopur district,22653
Madhya Pradesh,2018,4,neemuch district,59043
Madhya Pradesh,2018,4,raisen district,97966
Madhya Pradesh,2018,4,mandsaur district,91133
Madhya Pradesh,2018,4,barwani district,37607
Madhya Pradesh,2018,4,katni district,65040
Madhya Pradesh,2018,4,dindori district,17502
Madhya Pradesh,2018,4,shivpuri district,60316
Madhya Pradesh,2018,4,gwalior district,284894
Madhya Pradesh,2018,4,anuppur district,41252
Madhya Pradesh,2018,4,agar malwa district,27331
Madhya Pradesh,2018,4,ashoknagar district,37390
Madhya Pradesh,2018,4,sagar district,162788
Madhya Pradesh,2018,4,niwari district,15512
Madhya Pradesh,2018,4,rewa district,160024
Madhya Pradesh,2018,4,shajapur district,64217
Madhya Pradesh,2018,4,ujjain district,177894
Madhya Pradesh,2018,4,bhind district,78871
Madhya Pradesh,2018,4,tikamgarh district,36395
Madhya Pradesh,2018,4,seoni district,66772
Madhya Pradesh,2018,4,harda district,37692
Madhya Pradesh,2018,4,burhanpur district,35494
Madhya Pradesh,2018,4,damoh district,52293
Madhya Pradesh,2018,4,bhopal district,571518
Madhya Pradesh,2018,4,jhabua district,23354
Madhya Pradesh,2018,4,dhar district,137501
Madhya Pradesh,2018,4,guna district,83686
Madhya Pradesh,2018,4,east nimar district,62581
Madhya Pradesh,2018,4,chhindwara district,139301
Madhya Pradesh,2018,4,umaria district,26096
Madhya Pradesh,2018,4,mandla district,34894
Madhya Pradesh,2018,4,indore district,712479
Madhya Pradesh,2018,4,shahdol district,58381
Madhya Pradesh,2018,4,ratlam district,104855
Madhya Pradesh,2018,4,panna district,31291
Madhya Pradesh,2018,4,chhatarpur district,78677
Madhya Pradesh,2019,1,morena district,113900
Madhya Pradesh,2019,1,alirajpur district,13122
Madhya Pradesh,2019,1,sehore district,149925
Madhya Pradesh,2019,1,rajgarh district,106743
Madhya Pradesh,2019,1,khargone district,109408
Madhya Pradesh,2019,1,satna district,160954
Madhya Pradesh,2019,1,narsinghpur district,95833
Madhya Pradesh,2019,1,jabalpur district,295042
Madhya Pradesh,2019,1,hoshangabad district,123858
Madhya Pradesh,2019,1,vidisha district,112602
Madhya Pradesh,2019,1,balaghat district,108073
Madhya Pradesh,2019,1,singrauli district,107427
Madhya Pradesh,2019,1,betul district,122961
Madhya Pradesh,2019,1,sidhi district,55922
Madhya Pradesh,2019,1,datia district,46221
Madhya Pradesh,2019,1,dewas district,155786
Madhya Pradesh,2019,1,sheopur district,27456
Madhya Pradesh,2019,1,neemuch district,72918
Madhya Pradesh,2019,1,raisen district,117214
Madhya Pradesh,2019,1,mandsaur district,112086
Madhya Pradesh,2019,1,barwani district,46138
Madhya Pradesh,2019,1,katni district,79580
Madhya Pradesh,2019,1,dindori district,22197
Madhya Pradesh,2019,1,shivpuri district,73259
Madhya Pradesh,2019,1,gwalior district,331504
Madhya Pradesh,2019,1,anuppur district,49988
Madhya Pradesh,2019,1,agar malwa district,33425
Madhya Pradesh,2019,1,ashoknagar district,44386
Madhya Pradesh,2019,1,sagar district,194467
Madhya Pradesh,2019,1,niwari district,19076
Madhya Pradesh,2019,1,rewa district,188803
Madhya Pradesh,2019,1,shajapur district,76924
Madhya Pradesh,2019,1,ujjain district,214818
Madhya Pradesh,2019,1,bhind district,94313
Madhya Pradesh,2019,1,tikamgarh district,44716
Madhya Pradesh,2019,1,seoni district,82398
Madhya Pradesh,2019,1,harda district,43995
Madhya Pradesh,2019,1,burhanpur district,42152
Madhya Pradesh,2019,1,damoh district,62435
Madhya Pradesh,2019,1,bhopal district,670417
Madhya Pradesh,2019,1,jhabua district,29064
Madhya Pradesh,2019,1,dhar district,166663
Madhya Pradesh,2019,1,guna district,98816
Madhya Pradesh,2019,1,east nimar district,75806
Madhya Pradesh,2019,1,chhindwara district,168633
Madhya Pradesh,2019,1,umaria district,31962
Madhya Pradesh,2019,1,mandla district,44325
Madhya Pradesh,2019,1,indore district,844465
Madhya Pradesh,2019,1,shahdol district,71433
Madhya Pradesh,2019,1,ratlam district,127023
Madhya Pradesh,2019,1,panna district,38426
Madhya Pradesh,2019,1,chhatarpur district,95345
Madhya Pradesh,2019,2,morena district,130988
Madhya Pradesh,2019,2,alirajpur district,15642
Madhya Pradesh,2019,2,sehore district,168843
Madhya Pradesh,2019,2,rajgarh district,122223
Madhya Pradesh,2019,2,khargone district,126108
Madhya Pradesh,2019,2,satna district,182176
Madhya Pradesh,2019,2,narsinghpur district,108271
Madhya Pradesh,2019,2,jabalpur district,336963
Madhya Pradesh,2019,2,hoshangabad district,139812
Madhya Pradesh,2019,2,vidisha district,127894
Madhya Pradesh,2019,2,balaghat district,124374
Madhya Pradesh,2019,2,singrauli district,118756
Madhya Pradesh,2019,2,betul district,139098
Madhya Pradesh,2019,2,sidhi district,63838
Madhya Pradesh,2019,2,datia district,51973
Madhya Pradesh,2019,2,dewas district,177137
Madhya Pradesh,2019,2,sheopur district,31903
Madhya Pradesh,2019,2,neemuch district,83550
Madhya Pradesh,2019,2,raisen district,132559
Madhya Pradesh,2019,2,mandsaur district,128631
Madhya Pradesh,2019,2,barwani district,54556
Madhya Pradesh,2019,2,katni district,92245
Madhya Pradesh,2019,2,dindori district,26511
Madhya Pradesh,2019,2,shivpuri district,86583
Madhya Pradesh,2019,2,gwalior district,373367
Madhya Pradesh,2019,2,anuppur district,56658
Madhya Pradesh,2019,2,agar malwa district,38600
Madhya Pradesh,2019,2,ashoknagar district,50062
Madhya Pradesh,2019,2,sagar district,219328
Madhya Pradesh,2019,2,niwari district,22172
Madhya Pradesh,2019,2,rewa district,211420
Madhya Pradesh,2019,2,shajapur district,87512
Madhya Pradesh,2019,2,ujjain district,247033
Madhya Pradesh,2019,2,bhind district,109406
Madhya Pradesh,2019,2,tikamgarh district,51785
Madhya Pradesh,2019,2,seoni district,95004
Madhya Pradesh,2019,2,harda district,49716
Madhya Pradesh,2019,2,burhanpur district,47659
Madhya Pradesh,2019,2,damoh district,70868
Madhya Pradesh,2019,2,bhopal district,756839
Madhya Pradesh,2019,2,jhabua district,34299
Madhya Pradesh,2019,2,dhar district,190659
Madhya Pradesh,2019,2,guna district,112899
Madhya Pradesh,2019,2,east nimar district,87794
Madhya Pradesh,2019,2,chhindwara district,192226
Madhya Pradesh,2019,2,umaria district,36814
Madhya Pradesh,2019,2,mandla district,52317
Madhya Pradesh,2019,2,indore district,955207
Madhya Pradesh,2019,2,shahdol district,80859
Madhya Pradesh,2019,2,ratlam district,144931
Madhya Pradesh,2019,2,panna district,44821
Madhya Pradesh,2019,2,chhatarpur district,110283
Madhya Pradesh,2019,3,morena district,148083
Madhya Pradesh,2019,3,alirajpur district,18270
Madhya Pradesh,2019,3,sehore district,187387
Madhya Pradesh,2019,3,rajgarh district,136848
Madhya Pradesh,2019,3,khargone district,141346
Madhya Pradesh,2019,3,satna district,203019
Madhya Pradesh,2019,3,narsinghpur district,120875
Madhya Pradesh,2019,3,jabalpur district,380209
Madhya Pradesh,2019,3,hoshangabad district,155059
Madhya Pradesh,2019,3,vidisha district,144856
Madhya Pradesh,2019,3,balaghat district,140473
Madhya Pradesh,2019,3,singrauli district,128398
Madhya Pradesh,2019,3,betul district,154313
Madhya Pradesh,2019,3,sidhi district,70641
Madhya Pradesh,2019,3,datia district,57230
Madhya Pradesh,2019,3,dewas district,198483
Madhya Pradesh,2019,3,sheopur district,35602
Madhya Pradesh,2019,3,neemuch district,93754
Madhya Pradesh,2019,3,raisen district,146998
Madhya Pradesh,2019,3,mandsaur district,144312
Madhya Pradesh,2019,3,barwani district,62370
Madhya Pradesh,2019,3,katni district,103909
Madhya Pradesh,2019,3,dindori district,29957
Madhya Pradesh,2019,3,shivpuri district,99753
Madhya Pradesh,2019,3,gwalior district,417846
Madhya Pradesh,2019,3,anuppur district,62143
Madhya Pradesh,2019,3,agar malwa district,43676
Madhya Pradesh,2019,3,ashoknagar district,55130
Madhya Pradesh,2019,3,sagar district,243729
Madhya Pradesh,2019,3,niwari district,24850
Madhya Pradesh,2019,3,rewa district,232367
Madhya Pradesh,2019,3,shajapur district,98393
Madhya Pradesh,2019,3,ujjain district,280589
Madhya Pradesh,2019,3,bhind district,123531
Madhya Pradesh,2019,3,tikamgarh district,58461
Madhya Pradesh,2019,3,seoni district,105476
Madhya Pradesh,2019,3,harda district,54924
Madhya Pradesh,2019,3,burhanpur district,54323
Madhya Pradesh,2019,3,damoh district,78642
Madhya Pradesh,2019,3,bhopal district,846170
Madhya Pradesh,2019,3,jhabua district,39668
Madhya Pradesh,2019,3,dhar district,214712
Madhya Pradesh,2019,3,guna district,129027
Madhya Pradesh,2019,3,east nimar district,98963
Madhya Pradesh,2019,3,chhindwara district,214945
Madhya Pradesh,2019,3,umaria district,40677
Madhya Pradesh,2019,3,mandla district,59617
Madhya Pradesh,2019,3,indore district,1071598
Madhya Pradesh,2019,3,shahdol district,89794
Madhya Pradesh,2019,3,ratlam district,163826
Madhya Pradesh,2019,3,panna district,49989
Madhya Pradesh,2019,3,chhatarpur district,125453
Madhya Pradesh,2019,4,morena district,167329
Madhya Pradesh,2019,4,alirajpur district,21450
Madhya Pradesh,2019,4,sehore district,208256
Madhya Pradesh,2019,4,rajgarh district,154830
Madhya Pradesh,2019,4,khargone district,160372
Madhya Pradesh,2019,4,satna district,228680
Madhya Pradesh,2019,4,narsinghpur district,134332
Madhya Pradesh,2019,4,jabalpur district,422786
Madhya Pradesh,2019,4,hoshangabad district,172206
Madhya Pradesh,2019,4,vidisha district,165400
Madhya Pradesh,2019,4,balaghat district,159937
Madhya Pradesh,2019,4,singrauli district,142034
Madhya Pradesh,2019,4,betul district,173691
Madhya Pradesh,2019,4,sidhi district,80459
Madhya Pradesh,2019,4,datia district,64135
Madhya Pradesh,2019,4,dewas district,221533
Madhya Pradesh,2019,4,sheopur district,40736
Madhya Pradesh,2019,4,neemuch district,105842
Madhya Pradesh,2019,4,raisen district,165108
Madhya Pradesh,2019,4,mandsaur district,164446
Madhya Pradesh,2019,4,barwani district,72187
Madhya Pradesh,2019,4,katni district,117834
Madhya Pradesh,2019,4,dindori district,34661
Madhya Pradesh,2019,4,shivpuri district,117138
Madhya Pradesh,2019,4,gwalior district,461960
Madhya Pradesh,2019,4,anuppur district,69666
Madhya Pradesh,2019,4,agar malwa district,49638
Madhya Pradesh,2019,4,ashoknagar district,61984
Madhya Pradesh,2019,4,sagar district,272650
Madhya Pradesh,2019,4,niwari district,27993
Madhya Pradesh,2019,4,rewa district,260351
Madhya Pradesh,2019,4,shajapur district,111387
Madhya Pradesh,2019,4,ujjain district,314250
Madhya Pradesh,2019,4,bhind district,140487
Madhya Pradesh,2019,4,tikamgarh district,67015
Madhya Pradesh,2019,4,seoni district,119177
Madhya Pradesh,2019,4,harda district,61192
Madhya Pradesh,2019,4,burhanpur district,62012
Madhya Pradesh,2019,4,damoh district,88723
Madhya Pradesh,2019,4,bhopal district,926576
Madhya Pradesh,2019,4,jhabua district,45768
Madhya Pradesh,2019,4,dhar district,242108
Madhya Pradesh,2019,4,guna district,150709
Madhya Pradesh,2019,4,east nimar district,111341
Madhya Pradesh,2019,4,chhindwara district,240962
Madhya Pradesh,2019,4,umaria district,45879
Madhya Pradesh,2019,4,mandla district,68825
Madhya Pradesh,2019,4,indore district,1181500
Madhya Pradesh,2019,4,shahdol district,101136
Madhya Pradesh,2019,4,ratlam district,183893
Madhya Pradesh,2019,4,panna district,57005
Madhya Pradesh,2019,4,chhatarpur district,145672
Madhya Pradesh,2020,1,morena district,187857
Madhya Pradesh,2020,1,alirajpur district,24827
Madhya Pradesh,2020,1,sehore district,228553
Madhya Pradesh,2020,1,rajgarh district,174122
Madhya Pradesh,2020,1,khargone district,180658
Madhya Pradesh,2020,1,satna district,253988
Madhya Pradesh,2020,1,narsinghpur district,148190
Madhya Pradesh,2020,1,jabalpur district,462069
Madhya Pradesh,2020,1,hoshangabad district,190416
Madhya Pradesh,2020,1,vidisha district,184757
Madhya Pradesh,2020,1,balaghat district,179810
Madhya Pradesh,2020,1,singrauli district,156321
Madhya Pradesh,2020,1,betul district,193348
Madhya Pradesh,2020,1,sidhi district,90719
Madhya Pradesh,2020,1,datia district,71709
Madhya Pradesh,2020,1,dewas district,245317
Madhya Pradesh,2020,1,sheopur district,46567
Madhya Pradesh,2020,1,neemuch district,118143
Madhya Pradesh,2020,1,raisen district,184402
Madhya Pradesh,2020,1,mandsaur district,183327
Madhya Pradesh,2020,1,barwani district,82596
Madhya Pradesh,2020,1,katni district,131655
Madhya Pradesh,2020,1,dindori district,39433
Madhya Pradesh,2020,1,shivpuri district,134692
Madhya Pradesh,2020,1,gwalior district,506221
Madhya Pradesh,2020,1,anuppur district,76969
Madhya Pradesh,2020,1,agar malwa district,56419
Madhya Pradesh,2020,1,ashoknagar district,69791
Madhya Pradesh,2020,1,sagar district,299753
Madhya Pradesh,2020,1,niwari district,31223
Madhya Pradesh,2020,1,rewa district,285832
Madhya Pradesh,2020,1,shajapur district,124615
Madhya Pradesh,2020,1,ujjain district,349476
Madhya Pradesh,2020,1,bhind district,159089
Madhya Pradesh,2020,1,tikamgarh district,75937
Madhya Pradesh,2020,1,seoni district,133334
Madhya Pradesh,2020,1,harda district,67392
Madhya Pradesh,2020,1,burhanpur district,70827
Madhya Pradesh,2020,1,damoh district,98583
Madhya Pradesh,2020,1,bhopal district,1003288
Madhya Pradesh,2020,1,jhabua district,52803
Madhya Pradesh,2020,1,dhar district,270891
Madhya Pradesh,2020,1,guna district,169946
Madhya Pradesh,2020,1,east nimar district,125273
Madhya Pradesh,2020,1,chhindwara district,268008
Madhya Pradesh,2020,1,umaria district,51076
Madhya Pradesh,2020,1,mandla district,77954
Madhya Pradesh,2020,1,indore district,1287857
Madhya Pradesh,2020,1,shahdol district,112022
Madhya Pradesh,2020,1,ratlam district,204718
Madhya Pradesh,2020,1,panna district,64176
Madhya Pradesh,2020,1,chhatarpur district,164422
Madhya Pradesh,2020,2,morena district,217318
Madhya Pradesh,2020,2,alirajpur district,31422
Madhya Pradesh,2020,2,sehore district,251480
Madhya Pradesh,2020,2,rajgarh district,198951
Madhya Pradesh,2020,2,khargone district,210140
Madhya Pradesh,2020,2,satna district,281414
Madhya Pradesh,2020,2,narsinghpur district,166358
Madhya Pradesh,2020,2,jabalpur district,507707
Madhya Pradesh,2020,2,hoshangabad district,213924
Madhya Pradesh,2020,2,vidisha district,207720
Madhya Pradesh,2020,2,balaghat district,207076
Madhya Pradesh,2020,2,singrauli district,171262
Madhya Pradesh,2020,2,betul district,217297
Madhya Pradesh,2020,2,sidhi district,102450
Madhya Pradesh,2020,2,datia district,81212
Madhya Pradesh,2020,2,dewas district,275957
Madhya Pradesh,2020,2,sheopur district,54544
Madhya Pradesh,2020,2,neemuch district,134827
Madhya Pradesh,2020,2,raisen district,207040
Madhya Pradesh,2020,2,mandsaur district,208900
Madhya Pradesh,2020,2,barwani district,98117
Madhya Pradesh,2020,2,katni district,148185
Madhya Pradesh,2020,2,dindori district,45900
Madhya Pradesh,2020,2,shivpuri district,156442
Madhya Pradesh,2020,2,gwalior district,554377
Madhya Pradesh,2020,2,anuppur district,85974
Madhya Pradesh,2020,2,agar malwa district,66194
Madhya Pradesh,2020,2,ashoknagar district,80288
Madhya Pradesh,2020,2,sagar district,333878
Madhya Pradesh,2020,2,niwari district,35711
Madhya Pradesh,2020,2,rewa district,313486
Madhya Pradesh,2020,2,shajapur district,142935
Madhya Pradesh,2020,2,ujjain district,395028
Madhya Pradesh,2020,2,bhind district,183346
Madhya Pradesh,2020,2,tikamgarh district,87535
Madhya Pradesh,2020,2,seoni district,152359
Madhya Pradesh,2020,2,harda district,76370
Madhya Pradesh,2020,2,burhanpur district,82919
Madhya Pradesh,2020,2,damoh district,112085
Madhya Pradesh,2020,2,bhopal district,1080094
Madhya Pradesh,2020,2,jhabua district,67708
Madhya Pradesh,2020,2,dhar district,310389
Madhya Pradesh,2020,2,guna district,192017
Madhya Pradesh,2020,2,east nimar district,145921
Madhya Pradesh,2020,2,chhindwara district,302791
Madhya Pradesh,2020,2,umaria district,57495
Madhya Pradesh,2020,2,mandla district,90576
Madhya Pradesh,2020,2,indore district,1410157
Madhya Pradesh,2020,2,shahdol district,125221
Madhya Pradesh,2020,2,ratlam district,233307
Madhya Pradesh,2020,2,panna district,73675
Madhya Pradesh,2020,2,chhatarpur district,186944
Madhya Pradesh,2020,3,morena district,243100
Madhya Pradesh,2020,3,alirajpur district,36425
Madhya Pradesh,2020,3,sehore district,276075
Madhya Pradesh,2020,3,rajgarh district,224388
Madhya Pradesh,2020,3,khargone district,234694
Madhya Pradesh,2020,3,satna district,311884
Madhya Pradesh,2020,3,narsinghpur district,182823
Madhya Pradesh,2020,3,jabalpur district,555235
Madhya Pradesh,2020,3,hoshangabad district,235930
Madhya Pradesh,2020,3,vidisha district,231156
Madhya Pradesh,2020,3,balaghat district,232874
Madhya Pradesh,2020,3,singrauli district,188497
Madhya Pradesh,2020,3,betul district,241045
Madhya Pradesh,2020,3,sidhi district,114892
Madhya Pradesh,2020,3,datia district,89996
Madhya Pradesh,2020,3,dewas district,303624
Madhya Pradesh,2020,3,sheopur district,61321
Madhya Pradesh,2020,3,neemuch district,150072
Madhya Pradesh,2020,3,raisen district,230222
Madhya Pradesh,2020,3,mandsaur district,233832
Madhya Pradesh,2020,3,barwani district,111594
Madhya Pradesh,2020,3,katni district,164877
Madhya Pradesh,2020,3,dindori district,53140
Madhya Pradesh,2020,3,shivpuri district,178433
Madhya Pradesh,2020,3,gwalior district,603096
Madhya Pradesh,2020,3,anuppur district,94947
Madhya Pradesh,2020,3,agar malwa district,75042
Madhya Pradesh,2020,3,ashoknagar district,90944
Madhya Pradesh,2020,3,sagar district,368745
Madhya Pradesh,2020,3,niwari district,40044
Madhya Pradesh,2020,3,rewa district,343897
Madhya Pradesh,2020,3,shajapur district,158634
Madhya Pradesh,2020,3,ujjain district,436068
Madhya Pradesh,2020,3,bhind district,204515
Madhya Pradesh,2020,3,tikamgarh district,99435
Madhya Pradesh,2020,3,seoni district,169843
Madhya Pradesh,2020,3,harda district,84771
Madhya Pradesh,2020,3,burhanpur district,94468
Madhya Pradesh,2020,3,damoh district,126047
Madhya Pradesh,2020,3,bhopal district,1162000
Madhya Pradesh,2020,3,jhabua district,78359
Madhya Pradesh,2020,3,dhar district,346394
Madhya Pradesh,2020,3,guna district,215479
Madhya Pradesh,2020,3,east nimar district,163928
Madhya Pradesh,2020,3,chhindwara district,336306
Madhya Pradesh,2020,3,umaria district,64323
Madhya Pradesh,2020,3,mandla district,102626
Madhya Pradesh,2020,3,indore district,1524036
Madhya Pradesh,2020,3,shahdol district,139177
Madhya Pradesh,2020,3,ratlam district,260470
Madhya Pradesh,2020,3,panna district,83059
Madhya Pradesh,2020,3,chhatarpur district,211442
Madhya Pradesh,2020,4,morena district,267467
Madhya Pradesh,2020,4,alirajpur district,41088
Madhya Pradesh,2020,4,sehore district,300164
Madhya Pradesh,2020,4,rajgarh district,248183
Madhya Pradesh,2020,4,khargone district,259561
Madhya Pradesh,2020,4,satna district,340632
Madhya Pradesh,2020,4,narsinghpur district,198797
Madhya Pradesh,2020,4,jabalpur district,604034
Madhya Pradesh,2020,4,hoshangabad district,257815
Madhya Pradesh,2020,4,vidisha district,254046
Madhya Pradesh,2020,4,balaghat district,257330
Madhya Pradesh,2020,4,singrauli district,205335
Madhya Pradesh,2020,4,betul district,264821
Madhya Pradesh,2020,4,sidhi district,127036
Madhya Pradesh,2020,4,datia district,98245
Madhya Pradesh,2020,4,dewas district,331443
Madhya Pradesh,2020,4,sheopur district,67867
Madhya Pradesh,2020,4,neemuch district,164544
Madhya Pradesh,2020,4,raisen district,252088
Madhya Pradesh,2020,4,mandsaur district,257488
Madhya Pradesh,2020,4,barwani district,125456
Madhya Pradesh,2020,4,katni district,181408
Madhya Pradesh,2020,4,dindori district,59962
Madhya Pradesh,2020,4,shivpuri district,200121
Madhya Pradesh,2020,4,gwalior district,652985
Madhya Pradesh,2020,4,anuppur district,104310
Madhya Pradesh,2020,4,agar malwa district,83325
Madhya Pradesh,2020,4,ashoknagar district,100497
Madhya Pradesh,2020,4,sagar district,402006
Madhya Pradesh,2020,4,niwari district,44148
Madhya Pradesh,2020,4,rewa district,374099
Madhya Pradesh,2020,4,shajapur district,173999
Madhya Pradesh,2020,4,ujjain district,475637
Madhya Pradesh,2020,4,bhind district,223913
Madhya Pradesh,2020,4,tikamgarh district,110958
Madhya Pradesh,2020,4,seoni district,187112
Madhya Pradesh,2020,4,harda district,92862
Madhya Pradesh,2020,4,burhanpur district,105578
Madhya Pradesh,2020,4,damoh district,139246
Madhya Pradesh,2020,4,bhopal district,1249343
